"Referrer source","Referrer name","Day","Landing page URL","Session device type","Online store visitors","Sessions"
"search","google","2022-10-15","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","mobile",1,1
"direct",,"2022-10-15","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"social","instagram","2022-10-15","https://www.hensandhollyhocks.com/","mobile",1,1
"direct",,"2022-10-15","https://www.hensandhollyhocks.com/","desktop",2,2
"search","google","2022-10-16","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","mobile",1,1
"social","instagram","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=IwAR38gL1smklESUG-mTBZVNo1Mp8-AWJtj-cxXNobjwNnA0ScnTWbfL5d0Kc","mobile",1,1
"search","google","2022-10-16","https://www.hensandhollyhocks.com/","mobile",2,2
"social","facebook","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=IwAR2qmFr_9CU9yTi8pFd-ukn_KpTIRtGz_jEv3SwoEF3cP8qIVnqIH9hyv50","other",1,1
"social","facebook","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=IwAR0sRygoU1M4Ki0vEV-bDH_7hsViog6EsY2BH05fxYGoiiXPUHI5yEmPLt4","other",1,1
"direct",,"2022-10-16","https://www.hensandhollyhocks.com/","mobile",2,2
"social","instagram","2022-10-16","https://www.hensandhollyhocks.com/","tablet",6,6
"direct","hensandhollyhocks","2022-10-16","https://www.hensandhollyhocks.com/products/pair-of-cherry-blossom-dogs","desktop",1,2
"search","google","2022-10-16","https://www.hensandhollyhocks.com/products/green-scallop-edge-dinner-plate","mobile",1,1
"direct","hensandhollyhocks","2022-10-16","https://www.hensandhollyhocks.com/collections/decorations","mobile",1,1
"social","facebook","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=IwAR2F6XBiVAxI5GlGtCgrYpZZAl4tV4K7DObZU9QvAv-V1zQ-VeDFpvrmQuY","desktop",1,1
"search","google","2022-10-16","https://www.hensandhollyhocks.com/","desktop",3,4
"social","instagram","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=PAAaaRgSKA4Zh54B6y1Jj-UVz2E1V1p3HtJ9ZoN087j0QDuHxGXGN256Qk7sI","mobile",1,1
"direct",,"2022-10-16","https://www.hensandhollyhocks.com/collections/tableware?page=4","mobile",1,1
"direct",,"2022-10-16","https://www.hensandhollyhocks.com/products/trio-of-blue-and-white-pumpkins","mobile",1,1
"search","google","2022-10-16","https://www.hensandhollyhocks.com/","other",2,2
"direct","hensandhollyhocks","2022-10-16","https://www.hensandhollyhocks.com/collections/decorations","desktop",1,1
"social","instagram","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=IwAR217wqIgPft17XuuBQ-4qn9VQFVRCmu9Ul-lbE2U01Rh11G0SYE18H2SVY","mobile",1,1
"social","instagram","2022-10-16","https://www.hensandhollyhocks.com/","mobile",80,80
"social","instagram","2022-10-16","https://www.hensandhollyhocks.com/","desktop",1,1
"search","google","2022-10-16","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","mobile",2,2
"search","google","2022-10-16","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","desktop",1,1
"social","facebook","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=IwAR1FMP3snpzu-Kg8RAh9kigbuwb7VSyN5Uf6ZS2VrHobRcUTKcKdveoMx3g","desktop",1,1
"social","instagram","2022-10-16","https://www.hensandhollyhocks.com/?fbclid=PAAabiO7bL6e3F2-mbgE8e2eSt1Q-ABZ4-sRF5coKef8WNukDmd6WBRwv57TQ","tablet",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/products/underlay-garnet-marika-jug","desktop",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/","mobile",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/","other",1,1
"search","google","2022-10-17","https://www.hensandhollyhocks.com/collections/gifts","mobile",1,1
"search","google","2022-10-17","https://www.hensandhollyhocks.com/collections/decorations","desktop",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/","desktop",1,1
"social","instagram","2022-10-17","https://www.hensandhollyhocks.com/","mobile",17,18
"search","google","2022-10-17","https://www.hensandhollyhocks.com/products/set-of-four-oiseaux-de-paradis-dessert-plates","desktop",1,1
"search","google","2022-10-17","https://www.hensandhollyhocks.com/","desktop",1,1
"direct",,"2022-10-17","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"social","instagram","2022-10-17","https://www.hensandhollyhocks.com/?fbclid=IwAR2Qazh1-X6t__oAKc47_9yeHExtdYdJv2j2iCj5pkVY0fc9maL9ARMSixc","mobile",1,1
"search","google","2022-10-17","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","mobile",1,1
"search","google","2022-10-17","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","mobile",1,2
"search","google","2022-10-17","https://www.hensandhollyhocks.com/collections/tablecloths","desktop",1,1
